"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
1.1061	0.6154	0.3701	1.2137	-0.5466	-0.241	0.6025	-1.502	-0.1162	0.2367	-0.7316	0.0689	-0.1722	-0.5982	2.5478	2.1777	-1.5967	-0.1377	-0.6585	0.8263	-1.1577
1.0286	0.6499	0.3013	1.1921	-0.4433	-0.2109	0.5982	-1.3729	-0.0301	0.3013	-0.5896	0.1678	-0.0646	-1.0458	2.565	1.898	-1.4202	-0.0559	-0.5982	0.8694	-1.0458
0.9683	0.6886	0.3099	1.1362	-0.3443	-0.1765	0.6111	-1.2567	0.0559	0.3314	-0.4175	0.2453	0.0559	-1.4805	2.5995	1.558	-1.2395	0.0646	-0.5165	0.9038	-0.9296
0.8263	0.6886	0.2367	1.0673	-0.297	-0.1765	0.5853	-1.1577	0.1119	0.3658	-0.3357	0.3185	0.1377	-1.9023	2.6038	1.2309	-1.0673	0.1592	-0.4691	0.9167	-0.8005
0.7446	0.6972	0.1808	0.9942	-0.2152	-0.1722	0.5337	-0.9985	0.1592	0.3615	-0.1678	0.3658	0.2238	-2.2595	2.5995	0.9296	-0.8952	0.2496	-0.383	0.9382	-0.6886
0.6456	0.6671	0.1033	0.878	-0.1549	-0.2281	0.4691	-0.8866	0.1549	0.3787	-0.0516	0.4132	0.2324	-2.5607	2.621	0.5423	-0.7316	0.2884	-0.284	0.8866	-0.5939
0.5552	0.6413	0.0258	0.7833	-0.1119	-0.241	0.3959	-0.7919	0.1635	0.3314	0.043	0.4648	0.3228	-2.7028	2.6038	0.2324	-0.5896	0.3314	-0.2066	0.9167	-0.4562
0.4304	0.5896	-0.0947	0.6499	-0.0861	-0.3142	0.3185	-0.7015	0.1549	0.2582	0.0904	0.439	0.3271	-2.7372	2.5392	-0.0732	-0.4304	0.3658	-0.1033	0.9081	-0.3529
0.3357	0.5595	-0.1678	0.5294	-0.043	-0.3572	0.2625	-0.5939	0.1248	0.2496	0.1937	0.4691	0.3873	-2.5823	2.4618	-0.2884	-0.3185	0.4132	-0.0086	0.8952	-0.198
0.2797	0.5509	-0.2066	0.5337	0.0086	-0.4002	0.2066	-0.4906	0.1119	0.2367	0.3099	0.5078	0.4605	-2.2638	2.3326	-0.4734	-0.2324	0.5251	0.1334	0.9339	-0.0387
0.2152	0.5509	-0.284	0.4347	0.043	-0.4046	0.1678	-0.3873	0.0904	0.2195	0.4089	0.5337	0.5251	-1.8937	2.1906	-0.581	-0.1549	0.5939	0.2539	0.9468	0.142
0.2281	0.5681	-0.3228	0.4218	0.099	-0.4433	0.1506	-0.284	0.1248	0.2496	0.5035	0.5681	0.6068	-1.4245	1.941	-0.581	-0.0861	0.7101	0.3873	1.0071	0.3271
