"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
-0.1039	0.1159	0.1079	0.0839	0.4516	0.1878	0.2598	0.4756	0.3437	0.4876	0.2598	0.2598	0.2797	-0.4995	0.9871	-0.0559	0.9911	-0.048	-0.1199	0.2797	-0.1119	1.9502	-3.0572
-0.1079	0.0959	0.0759	0.048	0.3996	0.1559	0.2118	0.4436	0.2957	0.4516	0.2278	0.2358	0.2598	-0.5115	0.9431	-0.0839	1.0351	-0.048	-0.1599	0.2398	-0.1239	1.8063	-3.0093
-0.1479	0.0879	0.0599	-0.008	0.3717	0.0959	0.1359	0.4156	0.2718	0.4196	0.1998	0.2478	0.2478	-0.5355	0.8752	-0.1479	1.055	-0.048	-0.1678	0.2158	-0.1599	1.6425	-2.9493
-0.1718	0.0719	0	-0.044	0.2877	0.044	0.0599	0.3637	0.2318	0.3717	0.1479	0.1639	0.1878	-0.5395	0.8712	-0.1239	1.063	-0.032	-0.2078	0.2158	-0.1559	1.4747	-2.8734
-0.2038	0.036	-0.0599	-0.1159	0.2238	-0.008	-0.004	0.3157	0.1519	0.3197	0.1159	0.1199	0.1559	-0.5555	0.8352	-0.1918	1.071	-0.0599	-0.2158	0.1958	-0.1519	1.3228	-2.7934
-0.2278	0.012	-0.0639	-0.1519	0.1758	-0.044	-0.0599	0.2478	0.1359	0.2957	0.0679	0.0959	0.1279	-0.5275	0.7953	-0.1958	1.0391	-0.052	-0.2278	0.1998	-0.1718	1.131	-2.6816
-0.2158	-0.036	-0.1439	-0.2038	0.0999	-0.1279	-0.1279	0.1599	0.044	0.2278	0.012	0.024	0.0799	-0.5115	0.7713	-0.2278	1.0151	-0.048	-0.2797	0.1678	-0.1918	0.9791	-2.5816
-0.2757	-0.0719	-0.2158	-0.2917	0.008	-0.1838	-0.2398	0.0999	-0.036	0.1519	-0.052	-0.04	0.02	-0.5115	0.7114	-0.2877	0.9831	-0.044	-0.3437	0.1239	-0.1998	0.8312	-2.4857
-0.3157	-0.1399	-0.2478	-0.3437	-0.0799	-0.2318	-0.2797	-0.012	-0.1239	0.0839	-0.1279	-0.1039	-0.044	-0.4636	0.6434	-0.3277	0.9311	-0.052	-0.3757	0.1199	-0.2278	0.7114	-2.3658
-0.3397	-0.1798	-0.3277	-0.4116	-0.1639	-0.3237	-0.3797	-0.052	-0.1998	0.016	-0.2078	-0.1678	-0.1079	-0.4516	0.5675	-0.4076	0.8752	-0.0879	-0.4396	0.0799	-0.2957	0.5875	-2.242
-0.3836	-0.2118	-0.3637	-0.4156	-0.2398	-0.3717	-0.4436	-0.1599	-0.2678	-0.0759	-0.2797	-0.2518	-0.1718	-0.3996	0.5195	-0.4316	0.8073	-0.1239	-0.4836	0.0799	-0.2837	0.4836	-2.1261
-0.4076	-0.2917	-0.4076	-0.5235	-0.3277	-0.4156	-0.5115	-0.2757	-0.3876	-0.1479	-0.3757	-0.3517	-0.2398	-0.3797	0.4236	-0.4756	0.7433	-0.1439	-0.5635	0.016	-0.3637	0.4076	-2.0182
-0.3956	-0.3157	-0.4516	-0.5515	-0.3836	-0.4796	-0.5915	-0.3277	-0.4276	-0.2118	-0.4036	-0.3836	-0.2917	-0.3357	0.3397	-0.5075	0.6714	-0.1718	-0.5875	0.004	-0.3836	0.3437	-1.8903
-0.3757	-0.3317	-0.4995	-0.5955	-0.4436	-0.4916	-0.6154	-0.3916	-0.4796	-0.2957	-0.4716	-0.4476	-0.3637	-0.2837	0.3357	-0.5155	0.5675	-0.1718	-0.6394	-0.02	-0.4196	0.2837	-1.7864
-0.3557	-0.3597	-0.5035	-0.6154	-0.5035	-0.5155	-0.6554	-0.4596	-0.5355	-0.3597	-0.5235	-0.5195	-0.4116	-0.2438	0.2518	-0.5595	0.4756	-0.2118	-0.6634	-0.0559	-0.4436	0.2558	-1.6865
