"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
-0.2145	-0.46	-0.0249	1.0848	-0.5657	0.0746	1.0568	-0.7211	-0.2829	0.889	-0.69	-0.1741	1.0475	0.4911	-0.8486	-0.7988	-0.9822	0.9138	-0.3979	0.9449	-1.1314	-0.805	0.0653
-0.2083	-0.4538	-0.0249	1.1345	-0.5875	0.0559	1.1128	-0.7615	-0.2984	0.92	-0.7211	-0.1927	1.0692	0.4973	-0.8921	-0.6123	-1.0226	1.004	-0.4445	0.948	-1.0972	-0.8641	0.1181
-0.2145	-0.4662	-0.0311	1.1594	-0.5875	0.0404	1.1283	-0.7646	-0.3077	0.9356	-0.7336	-0.2083	1.1003	0.5408	-0.9636	-0.4196	-1.0817	1.0444	-0.4849	0.9418	-1.0599	-0.9107	0.1243
-0.1772	-0.4352	-0.0124	1.2309	-0.603	0.0404	1.1594	-0.7771	-0.3264	0.9636	-0.746	-0.1896	1.1252	0.575	-1.0133	-0.2176	-1.1407	1.0879	-0.5284	0.9449	-1.0195	-0.9791	0.1461
-0.143	-0.4041	0.0093	1.2682	-0.5906	0.028	1.2091	-0.774	-0.3264	1.0009	-0.7118	-0.1616	1.1501	0.5968	-1.0568	-0.0373	-1.2029	1.1252	-0.5595	0.9418	-0.9605	-1.0537	0.1616
-0.1212	-0.3916	0.0559	1.2899	-0.5595	0.0311	1.2651	-0.774	-0.317	1.0195	-0.7211	-0.1647	1.1532	0.6279	-1.1128	0.1181	-1.2495	1.1438	-0.5812	0.9169	-0.9138	-1.1438	0.1368
-0.0684	-0.3233	0.0901	1.3366	-0.5377	0.0435	1.3179	-0.7367	-0.3046	1.0382	-0.6931	-0.1212	1.1718	0.6434	-1.1376	0.2456	-1.2868	1.1967	-0.5781	0.8921	-0.8268	-1.206	0.1337
-0.0186	-0.2735	0.1523	1.4143	-0.488	0.0653	1.377	-0.6838	-0.2673	1.063	-0.631	-0.0622	1.2309	0.6683	-1.178	0.3761	-1.3303	1.2309	-0.5999	0.8827	-0.7646	-1.262	0.1026
0.0311	-0.2424	0.1958	1.408	-0.4725	0.0808	1.3925	-0.6372	-0.2424	1.0941	-0.5999	-0.0311	1.2309	0.6807	-1.1811	0.4787	-1.3397	1.2402	-0.603	0.8517	-0.6931	-1.3179	0.087
0.0715	-0.1896	0.23	1.4049	-0.4072	0.0746	1.4267	-0.6341	-0.2393	1.1034	-0.5564	0.0031	1.2091	0.6776	-1.2184	0.5688	-1.3583	1.234	-0.5844	0.8268	-0.6123	-1.3272	0.0746
0.0715	-0.1741	0.2331	1.3707	-0.3979	0.0528	1.4112	-0.6217	-0.2393	1.0941	-0.5408	0.0124	1.1749	0.69	-1.2526	0.5875	-1.3614	1.2029	-0.5906	0.7895	-0.5377	-1.3179	0.0901
0.0715	-0.1337	0.2611	1.3397	-0.373	0.0528	1.3614	-0.5626	-0.2176	1.0692	-0.5253	0.0218	1.1438	0.6869	-1.2557	0.6403	-1.3739	1.1656	-0.5844	0.7522	-0.4849	-1.2899	0.0839
0.0435	-0.1399	0.2331	1.2651	-0.3854	0.0186	1.3179	-0.5719	-0.2207	1.0133	-0.5191	0.0311	1.0786	0.6621	-1.3055	0.6434	-1.3366	1.091	-0.5781	0.6869	-0.4414	-1.2371	0.1026
0.028	-0.1305	0.23	1.2184	-0.345	0.0062	1.3024	-0.5688	-0.2362	0.976	-0.516	0.0435	1.0071	0.6558	-1.3366	0.5968	-1.3086	0.9915	-0.5564	0.6527	-0.4041	-1.1998	0.115
0	-0.1026	0.2269	1.1407	-0.3512	-0.0155	1.2433	-0.5439	-0.2424	0.889	-0.4911	0.0715	0.9449	0.6217	-1.3428	0.5377	-1.2526	0.92	-0.5315	0.5999	-0.3606	-1.1656	0.1119
-0.0435	-0.1057	0.1989	1.0568	-0.3481	-0.0373	1.1811	-0.5564	-0.2456	0.8237	-0.4973	0.0404	0.8361	0.5875	-1.377	0.5066	-1.1749	0.7988	-0.5129	0.5346	-0.3543	-1.1345	0.1088
-0.0995	-0.1554	0.1399	0.9573	-0.3823	-0.1057	1.0879	-0.5533	-0.2766	0.7336	-0.5222	0.0311	0.7304	0.5439	-1.4049	0.4103	-1.0724	0.6558	-0.5004	0.4414	-0.3326	-1.1159	0.1057
-0.1305	-0.1616	0.0839	0.8579	-0.3885	-0.1399	1.004	-0.5812	-0.3108	0.6527	-0.5222	0.0155	0.6279	0.4787	-1.3894	0.3077	-0.9667	0.5408	-0.4631	0.3575	-0.3264	-1.1097	0.0684
-0.2083	-0.2176	0.0124	0.7304	-0.4196	-0.1896	0.8921	-0.603	-0.3637	0.5719	-0.5377	-0.0497	0.5129	0.4165	-1.4049	0.2083	-0.8548	0.373	-0.4289	0.258	-0.3077	-1.0506	0.028
-0.2424	-0.2362	-0.0373	0.6248	-0.4414	-0.2735	0.8113	-0.6434	-0.3823	0.4787	-0.5564	-0.0684	0.4041	0.3668	-1.3397	0.1492	-0.7273	0.2393	-0.3761	0.1616	-0.286	-1.0444	-0.0466
-0.3077	-0.2829	-0.115	0.5377	-0.4569	-0.3077	0.718	-0.6372	-0.4258	0.3699	-0.5657	-0.1057	0.3077	0.2891	-1.3366	0.0559	-0.6092	0.1181	-0.2984	0.0466	-0.2424	-1.0009	-0.115
-0.3202	-0.3077	-0.1616	0.4196	-0.4973	-0.3606	0.6279	-0.6248	-0.4507	0.2891	-0.5564	-0.1212	0.2238	0.2393	-1.2993	-0.0466	-0.4818	-0.0093	-0.2207	0	-0.2207	-0.9542	-0.2051
-0.3543	-0.3419	-0.2114	0.3264	-0.5222	-0.401	0.5253	-0.631	-0.4693	0.2207	-0.5533	-0.1368	0.1399	0.1772	-1.2278	-0.1305	-0.3543	-0.1554	-0.1274	-0.0901	-0.1834	-0.9232	-0.3046
-0.4289	-0.3761	-0.286	0.1865	-0.5377	-0.4818	0.401	-0.6465	-0.5253	0.143	-0.5346	-0.1865	0.0404	0.0964	-1.1936	-0.2424	-0.1865	-0.2735	-0.0342	-0.2083	-0.1554	-0.8796	-0.4134
-0.4414	-0.3948	-0.3512	0.0777	-0.5564	-0.5191	0.2984	-0.6248	-0.5222	0.0746	-0.5004	-0.202	-0.0559	0.028	-1.1687	-0.373	-0.0622	-0.373	0.0839	-0.2735	-0.0591	-0.833	-0.5035
-0.488	-0.4538	-0.4227	-0.0186	-0.5688	-0.5471	0.1741	-0.5937	-0.5564	0	-0.4445	-0.2176	-0.1212	-0.0435	-1.147	-0.516	0.0808	-0.4787	0.1647	-0.3512	0	-0.7926	-0.5875
-0.5377	-0.4725	-0.4725	-0.1243	-0.5719	-0.5781	0.0684	-0.5502	-0.5533	-0.0653	-0.3792	-0.1989	-0.1585	-0.087	-1.0941	-0.6217	0.1927	-0.5471	0.3046	-0.3979	0.1026	-0.7709	-0.6714
-0.5906	-0.4942	-0.5471	-0.2269	-0.5781	-0.5999	-0.0186	-0.5035	-0.5564	-0.1554	-0.3202	-0.2051	-0.1989	-0.1523	-1.0537	-0.8082	0.3139	-0.6217	0.3916	-0.46	0.2051	-0.7429	-0.7833
