[Subject]	
[Date]	12/10/2015
[Time]	16:39:13
[Channels]	24
[Rate]	1000.000000
[Type]	Average
[Points]	1101
[Xmin]	-100.00000
[Sweeps]	255
[Accepted]	58
[Rejected]	197
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      Oz]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.8913	    -0.3531	    -0.9579	    -1.3023	    -0.2923	    -0.8653	    -0.7611	     0.0723	    -0.2402	    -0.4196	     0.4051	     0.3270	     0.0405	    -1.4209	    -0.5990	    -1.3138	     2.8679	    -0.9318	    -0.1013	    -1.4846	     0.6309	     1.6090	    -3.2209	    -1.3804	
    -0.8479	    -0.2778	    -0.9116	    -1.2531	    -0.2662	    -0.8450	    -0.7293	     0.1187	    -0.1794	    -0.3849	     0.4572	     0.3704	     0.1042	    -1.4122	    -0.5933	    -1.3399	     2.8360	    -0.9145	    -0.0752	    -1.4556	     0.6801	     1.5569	    -3.1225	    -1.3399	
    -0.8161	    -0.2460	    -0.8566	    -1.2212	    -0.2460	    -0.8190	    -0.6685	     0.1331	    -0.1476	    -0.3386	     0.4688	     0.3791	     0.1476	    -1.3949	    -0.5817	    -1.3052	     2.8100	    -0.8653	    -0.0521	    -1.3862	     0.6945	     1.5048	    -3.0357	    -1.2936	
    -0.7466	    -0.1910	    -0.8045	    -1.1778	    -0.1852	    -0.7524	    -0.6164	     0.1823	    -0.0984	    -0.2807	     0.5151	     0.4167	     0.1939	    -1.3688	    -0.5759	    -1.3138	     2.7579	    -0.8074	    -0.0347	    -1.3515	     0.7264	     1.4933	    -2.9344	    -1.2097	
    -0.7003	    -0.1534	    -0.7669	    -1.1228	    -0.1389	    -0.7206	    -0.5498	     0.2170	    -0.0463	    -0.2286	     0.5267	     0.4543	     0.2460	    -1.3428	    -0.5904	    -1.3052	     2.7174	    -0.7322	     0.0145	    -1.2849	     0.7524	     1.4585	    -2.8650	    -1.1055	
    -0.6540	    -0.0781	    -0.6801	    -1.0621	    -0.0550	    -0.6540	    -0.4862	     0.2633	     0.0232	    -0.1476	     0.5614	     0.5122	     0.3183	    -1.3254	    -0.5701	    -1.3052	     2.6653	    -0.6569	     0.0463	    -1.2270	     0.7611	     1.4470	    -2.7839	    -1.0505	
    -0.5846	    -0.0232	    -0.6222	    -0.9984	     0.0000	    -0.5990	    -0.4254	     0.2952	     0.0695	    -0.0897	     0.5701	     0.5527	     0.3560	    -1.2878	    -0.5759	    -1.3138	     2.5987	    -0.5759	     0.0868	    -1.1605	     0.7727	     1.4383	    -2.7203	    -0.9550	
    -0.5093	     0.0347	    -0.5412	    -0.9550	     0.0695	    -0.5325	    -0.3386	     0.3646	     0.1331	    -0.0203	     0.6135	     0.5817	     0.4196	    -1.2473	    -0.6019	    -1.2849	     2.5322	    -0.4717	     0.1273	    -1.0910	     0.7582	     1.4267	    -2.6827	    -0.8855	
    -0.4341	     0.1042	    -0.4514	    -0.8740	     0.1418	    -0.4717	    -0.2489	     0.4341	     0.1997	     0.0666	     0.6482	     0.6106	     0.4804	    -1.1981	    -0.6164	    -1.2762	     2.4077	    -0.3791	     0.1794	    -0.9955	     0.7640	     1.4441	    -2.5843	    -0.7698	
    -0.3907	     0.1621	    -0.4051	    -0.8016	     0.2286	    -0.3965	    -0.1823	     0.4920	     0.2691	     0.1563	     0.6569	     0.6743	     0.5556	    -1.1373	    -0.6598	    -1.2704	     2.2920	    -0.2807	     0.2257	    -0.9145	     0.7814	     1.4470	    -2.5437	    -0.7293	
    -0.3473	     0.1881	    -0.3473	    -0.7408	     0.3096	    -0.3328	    -0.1273	     0.5469	     0.3183	     0.2055	     0.6830	     0.6888	     0.5961	    -1.0679	    -0.6801	    -1.2849	     2.1617	    -0.2084	     0.2605	    -0.8450	     0.7842	     1.4788	    -2.4685	    -0.6482	
