[Subject]	
[Date]	03/14/2016
[Time]	17:13:08
[Channels]	24
[Rate]	1000.000000
[Type]	Average
[Points]	1101
[Xmin]	-100.00000
[Sweeps]	251
[Accepted]	58
[Rejected]	193
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      Oz]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
     2.3180	     1.9939	     2.4685	     2.4367	     1.5193	     2.3007	     1.3254	     1.2328	     1.7942	     0.6135	     0.6396	     1.0881	     0.5556	     0.8219	     0.0347	     2.3527	    -1.6380	     0.0087	     0.3328	     0.9521	    -0.5209	    -4.6997	     1.2965	     1.4527	
     2.2920	     1.9794	     2.4019	     2.3788	     1.5222	     2.2370	     1.2646	     1.2791	     1.7942	     0.5961	     0.7495	     1.1576	     0.6193	     0.7871	    -0.0608	     2.2167	    -1.5830	     0.0521	     0.4341	     0.9000	    -0.4051	    -4.6679	     1.3167	     1.3254	
     2.2312	     1.9563	     2.3383	     2.3354	     1.4933	     2.1502	     1.1691	     1.3196	     1.7740	     0.5614	     0.8682	     1.2357	     0.6627	     0.7698	    -0.1418	     2.0605	    -1.5193	     0.0955	     0.5093	     0.8363	    -0.3357	    -4.6216	     1.2907	     1.2154	
     2.1704	     1.8868	     2.2601	     2.2341	     1.4614	     2.0865	     1.1026	     1.3515	     1.7566	     0.5527	     0.9579	     1.2965	     0.7206	     0.7379	    -0.1910	     1.9679	    -1.4585	     0.1534	     0.5933	     0.7466	    -0.2576	    -4.5811	     1.2936	     1.0852	
     2.0836	     1.8318	     2.1849	     2.1531	     1.4238	     2.0171	     1.0447	     1.3543	     1.7277	     0.5151	     1.0707	     1.3891	     0.7929	     0.6888	    -0.2576	     1.8203	    -1.3717	     0.2141	     0.5990	     0.6743	    -0.1910	    -4.5029	     1.2357	     0.9666	
     2.0286	     1.7884	     2.1183	     2.0778	     1.3891	     1.9736	     1.0071	     1.4035	     1.7392	     0.5412	     1.1605	     1.4614	     0.8624	     0.6569	    -0.2778	     1.6958	    -1.2907	     0.2576	     0.6598	     0.5933	    -0.1273	    -4.4016	     1.2097	     0.8508	
     1.9389	     1.6871	     2.0228	     1.9708	     1.3341	     1.9013	     0.9521	     1.4325	     1.7335	     0.5556	     1.2444	     1.5453	     0.9289	     0.5990	    -0.3010	     1.5830	    -1.1923	     0.3068	     0.6598	     0.5035	    -0.0608	    -4.2975	     1.1460	     0.7264	
     1.8347	     1.6293	     1.9331	     1.8724	     1.2849	     1.8174	     0.9116	     1.4267	     1.7450	     0.5469	     1.3167	     1.5830	     0.9781	     0.5469	    -0.3068	     1.4585	    -1.1084	     0.3299	     0.6540	     0.4109	    -0.0376	    -4.1557	     1.0968	     0.6193	
     1.7479	     1.5511	     1.8897	     1.7826	     1.2589	     1.7971	     0.8942	     1.4383	     1.7682	     0.5817	     1.3978	     1.6958	     1.0679	     0.5180	    -0.2894	     1.3486	    -1.0244	     0.4080	     0.6569	     0.3357	     0.0405	    -4.0052	     1.0129	     0.5151	
