Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	-3.131890
1	FC3	0.063647
1	FCZ	-0.646262
1	FC4	-2.266359
1	C3	4.158006
1	CZ	4.420759
1	C4	1.009877
1	CP3	5.778599
1	CPZ	6.095482
1	CP4	3.906123
1	P3	7.653195
1	PZ	6.854604
1	P4	6.231889
1	Oz	0.301141
1	FP1	-3.912528
1	FP2	-4.250612
1	A2	-0.576389
1	P8/T6	4.490812
1	TP7	2.353462
1	TP8	0.988315
1	P7/T5	5.481383
1	VEOG	1.513733
1	HEOG	0.600387
1	Nose	-4.354090
1	FZ	-4.718878
1	FC3	-1.394557
1	FCZ	-3.137168
1	FC4	-3.876397
1	C3	2.491763
1	CZ	1.903555
1	C4	-0.485046
1	CP3	4.193325
1	CPZ	4.451884
1	CP4	2.356755
1	P3	5.980818
1	PZ	5.070810
1	P4	4.373802
1	Oz	-0.076593
1	FP1	-4.264912
1	FP2	-5.053850
1	A2	0.154991
1	P8/T6	2.852266
1	TP7	1.202668
1	TP8	0.378140
1	P7/T5	4.135497
1	VEOG	5.431854
1	HEOG	0.228021
1	Nose	-4.778060
1	FZ	-3.476201
1	FC3	0.451687
1	FCZ	-1.239779
1	FC4	-2.419971
1	C3	3.331126
1	CZ	2.090730
1	C4	0.529063
1	CP3	4.795443
1	CPZ	3.715399
1	CP4	2.757088
1	P3	6.247948
1	PZ	4.577926
1	P4	4.556435
1	Oz	-0.357991
1	FP1	-2.015394
1	FP2	-4.176953
1	A2	0.722718
1	P8/T6	2.762828
1	TP7	2.268255
1	TP8	0.035296
1	P7/T5	4.543151
1	VEOG	3.943211
1	HEOG	-2.848460
1	Nose	-0.892747
1	FZ	-4.844829
1	FC3	-2.429555
1	FCZ	-3.159436
1	FC4	-4.155984
1	C3	0.455577
1	CZ	0.487932
1	C4	-1.159935
1	CP3	1.973218
1	CPZ	2.394258
1	CP4	1.437561
1	P3	4.351584
1	PZ	3.652065
1	P4	4.028368
1	Oz	0.045306
1	FP1	-4.952141
1	FP2	-5.574806
1	A2	-0.070213
1	P8/T6	2.679285
1	TP7	0.711047
1	TP8	0.135682
1	P7/T5	3.560361
1	VEOG	5.341490
1	HEOG	-1.409238
1	Nose	-6.059085
